,id,popularity,artist_ids
29510,https://open.spotify.com/track/15dnkAHcHC0vrIUlbiPiqU  ,0,['53XhwfbYqKCa1cC15pYq2q']
29531,https://open.spotify.com/track/4J2RaG4UH2HCThcqzDpeAF  ,0,['53XhwfbYqKCa1cC15pYq2q']
29550,https://open.spotify.com/track/54h8xHewdRPnYzmbEHBhOO  ,0,['53XhwfbYqKCa1cC15pYq2q']
29559,https://open.spotify.com/track/7vAXN57IQ0sj049wZGIboE  ,0,['53XhwfbYqKCa1cC15pYq2q']
29777,https://open.spotify.com/track/3OXhib7pxAWnmwwoUI6HqY  ,0,"['6U3ybJ9UHNKEdsH7ktGBZ7', '6l3HvQ5sa6mXTsMTB19rO5']"
30372,https://open.spotify.com/track/31mqc7EKPsJf3pe6H5jEfC  ,0,"['2P5sC9cVZDToPxyomzF1UH', '5IcR3N7QB1j6KBL8eImZ8m']"
30598,https://open.spotify.com/track/5uMVjsPAVOc8v3iTgVkkrz  ,0,['4UXqAaa6dQYAk18Lv7PEgX']
30907,https://open.spotify.com/track/2ZGvw7BpnUHG89yt8fNxH7  ,0,['4Ga1P7PMIsmqEZqhYZQgDo']
30918,https://open.spotify.com/track/6qWSHYcZEvE0MIcH2WmB23  ,0,['4Ga1P7PMIsmqEZqhYZQgDo']
30942,https://open.spotify.com/track/1FUVCa49nKsPRuznGVrIFY  ,0,['4Ga1P7PMIsmqEZqhYZQgDo']
30960,https://open.spotify.com/track/0HJvoOkpflwYJb21VkTmGD  ,0,['4Ga1P7PMIsmqEZqhYZQgDo']
31339,https://open.spotify.com/track/07VJGBnywGutMZ72kRyEop  ,0,"['1zNqQNIdeOUZHb8zbZRFMX', '7iZtZyCzp3LItcw1wtPI3D']"
31577,https://open.spotify.com/track/09KlDlkOYuC5x6hOaM7vaP  ,0,['1l8Fu6IkuTP0U5QetQJ5Xt']
32164,https://open.spotify.com/track/1QXg7pVx5hpAZWw8KIAcGw  ,0,['1eEfMU2AhEo7XnKgL7c304']
32177,https://open.spotify.com/track/0i7lZhEMEheehKyCtBJIIL  ,0,['1eEfMU2AhEo7XnKgL7c304']
32181,https://open.spotify.com/track/56dllQaFZBw3SPTiKZvqYH  ,20,['7rpf45DdbpweG51Acze45i']
32188,https://open.spotify.com/track/2XDhuJvvx2wcIROXbfTTYr  ,0,['7dGJo4pcD2V6oG8kP0tJRR']
