,expected,predicted
0,0.77,0.6212978685978483
1,0.67,0.5956462048301123
2,0.0,0.6017956190201059
3,0.75,0.6514562186616769
4,0.82,0.6418833932969255
5,0.65,0.650207133411543
6,0.81,0.6146222148062926
7,0.74,0.6533695303890794
8,0.59,0.5837260030783931
9,0.0,0.5981187975342979
10,0.54,0.6168418839356568
11,0.41,0.6317691248415913
12,0.76,0.6488780563846345
13,0.0,0.650194082119252
14,0.83,0.6304308696159203
15,0.71,0.645049334523909
16,0.0,0.5905765076921033
17,0.55,0.5943037172600829
18,0.63,0.6127676546444619
19,0.0,0.5857367624618078
20,0.7,0.6238707517358064
21,0.73,0.6517739635649095
22,0.59,0.6373210633886143
23,0.75,0.6280132572118097
24,0.77,0.6044789754442879
25,0.62,0.6160990513440697
26,0.73,0.6530823972262727
27,0.62,0.614789486286666
28,0.62,0.6104609470251511
29,0.7,0.6434321632269834
30,0.6,0.6459371873292167
31,0.69,0.6246640570919098
32,0.8,0.6267175844961856
33,0.47,0.6094323770485778
34,0.46,0.550377488238142
35,0.78,0.6332979055408485
36,0.78,0.6121160591635144
37,0.68,0.6563290072095114
38,0.66,0.6269018845194986
39,0.5,0.6325206963151025
40,0.57,0.6123840634591324
41,0.78,0.6017979510907816
42,0.6,0.6389479269185362
43,0.45,0.6222541915440638
44,0.8,0.6467768656345957
45,0.09,0.6127058751079099
46,0.74,0.6235651831030362
47,0.82,0.6460674885447587
48,0.83,0.6105735934178904
49,0.65,0.6034707801693101
50,0.67,0.6263929461053446
51,0.63,0.6302381531708897
52,0.61,0.6211598067050574
53,0.76,0.6363614656682213
54,0.7,0.6419466187460231
55,0.53,0.6268344802890704
56,0.69,0.6473506337475915
57,0.61,0.6223498950049279
58,0.48,0.6315955722524782
59,0.74,0.6393423045755687
60,0.56,0.6768229577412155
61,0.58,0.5753572960188739
62,0.66,0.6679703024346118
63,0.64,0.6307814885735402
64,0.49,0.6208762347721609
65,0.06,0.6332239190877521
66,0.73,0.6691241436669263
67,0.62,0.6209107242495042
68,0.67,0.645692919199872
69,0.74,0.6298997762192511
70,0.75,0.6097267753167172
71,0.61,0.6220532846726622
72,0.78,0.6296507262378002
73,0.75,0.6322628563876544
74,0.05,0.616046253141133
75,0.36,0.6041815987715565
76,0.46,0.6364101675584671
77,0.8,0.648055614826439
78,0.7,0.604335798134394
79,0.56,0.6435345176345635
80,0.0,0.6337646045050098
81,0.62,0.619970630905479
82,0.63,0.6242335592603709
83,0.68,0.6425676877920816
84,0.72,0.6063675458648107
85,0.72,0.6007408361308384
86,0.62,0.6284310459039953
87,0.69,0.6322333114079728
88,0.47,0.6430661695220965
89,0.68,0.6511907799690099
90,0.7,0.6357370537775533
91,0.61,0.6163285727876042
92,0.0,0.6321804499773828
93,0.0,0.6352891300958776
94,0.76,0.6381133762851416
95,0.65,0.6648073841625031
96,0.76,0.6304417854182955
97,0.67,0.6280071751876851
98,0.62,0.6183171900530748
99,0.62,0.6545633010069578
100,0.48,0.5634282389388732
101,0.58,0.630377654047351
102,0.61,0.6585283916539888
103,0.75,0.6450929482165002
104,0.84,0.6141140467586529
105,0.61,0.5886799304305557
106,0.55,0.5936998415442118
107,0.55,0.6102475719615913
108,0.71,0.645222606032054
109,0.66,0.6249478598932642
110,0.58,0.6220178266529007
111,0.66,0.6293934788887577
112,0.81,0.6222341118411862
113,0.0,0.6234293226461428
114,0.55,0.6071669472694251
115,0.52,0.6182809753021802
116,0.48,0.6034247442351302
117,0.88,0.63790466202734
118,0.84,0.6357590282289183
119,0.56,0.609502498124049
120,0.48,0.6265818816443585
121,0.65,0.6111239725799313
122,0.59,0.6655925790217287
123,0.67,0.6291418671613648
124,0.57,0.6271563044497044
125,0.86,0.6659615782823857
126,0.64,0.6134391505606092
127,0.62,0.6235048681166477
128,0.48,0.5990068307308372
129,0.83,0.6281248781229166
130,0.52,0.6032618377388127
131,0.0,0.6232398881938203
132,0.78,0.6263090687496341
133,0.51,0.6441939850853533
134,0.71,0.647749326310194
135,0.1,0.6471996561769097
136,0.74,0.626743582814932
137,0.01,0.6151302196321414
138,0.68,0.6127386621242149
139,0.0,0.6060408732718869
140,0.62,0.657642268550387
141,0.74,0.6504751418567271
142,0.4,0.6107118440238968
143,0.49,0.6610852240497558
144,0.65,0.6649714592205611
145,0.11,0.6408004491947819
146,0.52,0.5959941903455637
147,0.76,0.63531414111532
148,0.79,0.6211037416951866
149,0.68,0.623422054005351
150,0.86,0.6353873524630131
151,0.69,0.6524960312839738
152,0.7,0.6099200099512948
153,0.66,0.6103550377495749
154,0.73,0.6013946826589872
155,0.61,0.6185447894652527
156,0.61,0.635321693300895
157,0.49,0.6155030111109582
158,0.73,0.61109439613248
159,0.63,0.6232810177790071
160,0.0,0.6096233489735738
161,0.75,0.6155886976448288
162,0.6,0.6130058076431613
163,0.77,0.6347846568982513
164,0.66,0.6327527052923767
165,0.66,0.6299249612259598
166,0.62,0.6088300674683759
167,0.83,0.6313884046026831
168,0.72,0.6490226079008222
169,0.7,0.6345940456865734
170,0.65,0.6414909280631392
171,0.64,0.6184841590386061
172,0.53,0.6222901071212403
173,0.48,0.6445123394489135
174,0.57,0.628954048490885
175,0.04,0.6239318115975407
176,0.82,0.5527339869640928
177,0.69,0.6247638948294734
178,0.55,0.5932400687187896
179,0.38,0.6698282913937341
180,0.0,0.6452380834806439
181,0.63,0.676090634407495
182,0.63,0.6375859698939288
183,0.72,0.6394095140438397
184,0.73,0.6174857440934888
185,0.57,0.6174339845276313
186,0.71,0.5999913055584987
187,0.76,0.6239367358054457
188,0.43,0.6215650335032065
189,0.76,0.5812673400577977
190,0.7,0.6563886763017261
191,0.75,0.5968018601130074
192,0.77,0.6485091277782211
193,0.67,0.6270658313886665
194,0.57,0.6460143019812155
195,0.51,0.6092233039196627
196,0.75,0.6305135988149168
197,0.85,0.6305197359452287
198,0.55,0.6022156007584646
199,0.82,0.6427882168498154
200,0.46,0.6106530219063719
201,0.6,0.6242804530957381
202,0.7,0.6249121611548402
203,0.54,0.6166851578650834
204,0.65,0.653347191496447
205,0.79,0.6212152877823894
